Driver,Season,Laps
Max Verstappen,2023,1003
Sergio Pérez,2023,146
Carlos Sainz,2023,77
Charles Leclerc,2023,41
Lando Norris,2023,30
Lewis Hamilton,2023,13
George Russell,2023,6
Yuki Tsunoda,2023,5
Fernando Alonso,2023,3
Oscar Piastri,2023,1
Max Verstappen,2022,616
Charles Leclerc,2022,311
Sergio Pérez,2022,147
George Russell,2022,99
Carlos Sainz,2022,72
Lewis Hamilton,2022,46
Sebastian Vettel,2022,2
Fernando Alonso,2022,1
Max Verstappen,2021,652
Lewis Hamilton,2021,297
Valtteri Bottas,2021,79
Esteban Ocon,2021,66
Charles Leclerc,2021,60
Daniel Ricciardo,2021,48
Sergio Pérez,2021,46
Lando Norris,2021,31
Carlos Sainz,2021,12
Sebastian Vettel,2021,4
Fernando Alonso,2021,2